"ET","CC","Priority","CI","OE","OW","NI","SI","RI","FI"
38.76,3,2,2,0,17623,0,2,1,0
555.477,3,2,3,0,17623,0,0,1,2
36.198,3,2,6,0,17623,0,0,3,0
370.705,4,2,4,0,17623,0,2,1,3
258.799,3,2,1,0,17623,0,0,1,2
402.081,3,2,1,255,57,0,0,3,0
31.301,3,2,11,0,17623,1,0,0,2
888.688,10,2,12,0,17623,21,0,3,21
778.235,3,2,2,0,17623,0,0,3,0
28.276,3,2,5,0,17623,1,0,0,2
595.914,23,2,21,255,57,190,1,2,60
1116.276,5,2,2,0,17623,0,2,4,4
900.716,8,2,6,375,249,15,0,1,12
247.199,3,2,1,0,17623,0,0,3,0
881.081,4,2,5,0,17623,1,0,1,4
1149.489,12,2,10,0,17623,28,1,5,32
598.17,3,2,2,0,17623,0,0,3,0
616.981,22,2,24,255,57,190,0,1,40
312.167,5,2,8,0,17623,3,0,1,6
959.952,9,2,10,99,331,15,3,0,18
239.144,3,2,2,0,17623,1,0,0,2
579.916,5,2,2,0,17623,0,3,3,4
614.116,6,2,5,99,331,1,3,3,8
556.104,4,2,5,99,331,1,0,1,4
769.66,4,2,3,84,118,0,1,5,0
1116.319,4,2,3,0,17623,0,0,3,3
256.883,9,2,15,0,17623,28,0,0,8
55.365,4,2,7,0,17623,3,0,0,3
1.403,8,2,7,0,17623,28,0,0,0
807.081,7,2,9,0,17623,15,0,0,6
556.534,4,2,1,84,118,0,0,3,3
913.56,14,2,24,0,17623,78,0,0,13
0.508,3,2,3,0,17623,0,0,3,0
225.694,16,2,24,0,17623,105,0,0,15
668.945,6,2,3,99,331,1,2,4,8
735.138,21,3,24,0,17623,171,0,1,38
933.211,17,2,16,0,17623,78,3,3,52
292.194,6,2,4,0,17623,1,1,5,8
1056.744,11,2,13,17,17,36,0,1,18
648.242,20,2,22,0,17623,171,0,0,19
361.748,4,2,3,0,17623,3,0,0,3
526.954,6,2,3,255,57,3,0,3,9
387.046,19,2,22,0,17623,105,3,3,60
642.66,20,2,23,0,17623,153,0,1,36
296.361,4,2,2,0,17623,1,0,1,4
330.139,21,2,22,0,17623,171,0,1,38
114.959,25,2,24,0,12,276,0,0,24
614.077,4,2,3,99,331,0,2,4,0
246.638,3,2,2,0,17623,0,1,0,2
283.908,19,2,22,0,17623,120,1,2,48
469.438,5,2,3,375,249,3,0,1,6
501.03,3,2,1,375,249,0,1,2,0
479.245,4,2,3,0,17623,1,0,1,4
238.562,4,2,2,0,17623,1,0,1,4
292.547,11,2,14,0,17623,15,4,6,30
364.183,24,2,22,0,17623,231,0,1,44
341.124,22,2,21,0,17623,210,0,0,21
209.571,3,2,1,0,17623,0,0,1,2
253.24,3,2,2,0,17623,1,0,0,2
447.917,25,2,24,99,331,210,3,3,84
48.321,3,2,3,0,17623,1,0,0,2
387.896,22,2,22,0,5,210,0,0,21
498.633,24,2,23,0,17623,231,0,1,44
989.657,10,2,9,0,17623,15,3,3,24
233.834,6,2,6,0,17623,10,0,0,5
210.902,5,3,13,45,24,3,0,1,6
566.121,3,2,3,99,331,0,0,3,0
305.309,19,2,21,0,17623,136,0,1,34
147.464,5,2,3,0,17623,1,1,2,6
222.147,3,2,4,0,17623,0,0,1,2
92.145,3,2,2,0,17623,0,1,2,0
177.779,20,2,24,0,17623,120,5,1,64
717.655,9,2,9,0,17623,28,0,0,8
628.998,6,2,5,375,249,3,0,3,9
246.013,3,2,2,292,122,0,0,1,2
278.706,3,2,5,0,17623,0,0,1,2
518.959,3,2,2,375,249,0,0,1,2
821.686,4,2,4,0,17623,3,0,0,3
618.428,9,2,9,99,331,15,0,3,18
583.369,7,2,5,0,17623,6,2,1,12
961.555,7,2,8,0,17623,10,0,1,10
367.333,5,2,5,0,17623,1,1,2,6
170.262,3,2,1,0,17623,0,0,3,0
261.802,11,2,24,0,17623,45,0,0,10
790.607,11,2,20,0,17623,36,0,1,18
318.834,13,2,22,138,92,45,1,2,30
740.066,19,2,18,0,17623,91,6,4,70
896.482,10,2,9,0,17623,28,1,0,16
215.895,7,2,9,0,17623,10,1,0,10
578.637,3,2,2,99,331,0,0,3,0
594.986,4,2,5,99,331,0,0,3,3
235.188,3,2,2,0,17623,0,1,2,0
237.289,3,2,1,0,17623,0,1,2,0
525.567,21,2,23,99,331,171,0,1,38
184.511,24,2,24,0,17623,171,6,4,95
139.024,4,2,9,0,17623,0,3,3,0
683.932,3,2,1,375,249,0,0,3,0
104.867,5,2,6,0,17623,1,1,2,6
196.97,19,2,25,0,17623,153,0,0,18
1032.636,4,2,6,0,17623,1,0,1,4
580.205,5,2,4,99,331,1,0,3,6
232.324,3,2,4,0,17623,1,0,0,2
574.139,3,2,3,99,331,0,0,3,0
210.331,3,2,1,0,17623,0,0,1,2
2.04,3,2,2,0,17623,1,0,0,2
566.845,4,2,3,99,331,0,0,3,3
222.6,3,2,4,0,17623,0,0,1,2
501.233,4,2,4,0,17623,1,0,1,4
637.964,4,2,3,84,118,0,0,3,3
923.793,18,2,19,138,92,105,2,1,45
163.337,3,2,2,0,17623,0,3,0,0
556.111,3,2,3,99,331,0,0,3,0
556.12,5,2,5,99,331,0,6,4,0
629.949,6,2,7,0,17623,6,0,1,8
100.042,5,2,8,0,17623,6,0,0,4
528.804,19,2,22,96,115,120,2,1,48
178.094,15,2,17,0,17623,78,0,1,26
716.192,3,2,0,40,97,0,0,1,2
546.341,14,2,23,0,17623,66,1,0,24
262.943,4,2,5,0,17623,0,1,2,3
270.754,3,2,4,0,17623,0,1,2,0
538.851,3,2,3,99,331,0,0,3,0
204.453,5,2,5,0,17623,6,0,0,4
200.657,3,2,5,0,17623,0,0,1,2
200.662,3,2,3,0,17623,1,0,0,2
195.489,3,2,4,0,17623,0,0,1,2
546.197,3,2,3,0,17623,0,0,1,2
194.155,3,2,4,0,17623,0,0,1,2
535.107,3,2,3,99,331,0,0,3,0
194.105,3,2,3,0,17623,0,0,1,2
223.45,16,2,24,99,331,91,0,1,28
187.308,4,2,6,0,17623,3,0,0,3
349.94,4,2,5,0,17623,1,0,1,4
259.23,6,2,6,0,17623,10,0,0,5
523.177,4,2,1,99,331,0,0,6,0
178.104,6,2,17,0,17623,10,0,0,5
162.966,3,2,2,0,17623,0,0,3,0
