"ET","CC","Pr","CI","OE","OW","NI","SI","RI","FI"
2058.6247,4,6,24,1561,824,3,0,0,3
728.1958,5,6,13,510,1851,1,2,1,6
2079.0044,6,5,15,0,5846,3,1,2,9
3472.8342,3,4,10,1561,824,0,2,1,0
672.6481,3,3,10,8,164,0,0,1,2
12573.9758,9,6,60,770,675,15,0,3,18
1946.0961,3,5,25,770,675,0,0,1,2
98688.2483,7,5,25,15,2,6,0,3,12
6.3764,5,7,10,0,5846,3,0,1,6
210.2597,5,7,23,0,5846,1,1,2,6
19.5956,4,6,15,0,5846,0,1,2,3
10045.2111,3,3,10,0,71,0,2,1,0
10.7489,5,3,16,0,1718,1,0,3,6
7053.5033,4,5,16,3,40,6,0,0,0
20787.6478,5,6,21,12,28,3,0,1,6
1891.8089,4,3,9,3,14,1,0,1,4
4951.5072,4,3,11,0,36,6,0,0,0
1559.0703,4,6,10,9,224,3,0,0,3
1528.9625,4,3,15,148,863,6,0,0,0
3362.7217,3,2,9,148,863,1,0,0,2
2622.8014,4,3,20,148,863,0,2,1,3
98.1528,4,3,5,148,863,3,0,0,3
592.0856,3,5,4,148,863,1,0,0,2
1574.5553,3,6,6,148,863,0,0,1,2
3259.6728,3,4,3,148,863,0,0,1,2
1437.4492,6,3,6,69,1227,10,0,0,5
2315.2775,4,3,14,69,1227,1,1,0,4
6366.3903,3,5,11,69,1227,0,2,1,0
3957.1911,7,5,6,69,1227,10,1,0,10
2336.2583,25,3,31,69,1227,276,0,0,24
5636.0922,6,5,16,69,1227,6,1,0,8
841.0117,7,3,9,69,1227,15,0,0,6
2985.1997,5,3,15,45,144,10,0,0,0
2817.1378,7,5,27,45,144,3,0,6,12
2498.4544,4,3,10,72,497,0,3,3,0
162.7022,4,4,15,72,497,0,0,6,0
7777.0111,7,5,29,72,497,0,0,21,0
11524.1458,3,3,12,72,497,0,0,3,0
9190.1983,4,3,13,72,497,0,0,3,3
5256.8606,4,3,12,72,497,0,0,6,0
5210.2314,5,3,15,9,61,1,0,3,6
21650.5544,6,4,30,72,497,0,7,3,5
668.7231,4,3,6,0,463,3,0,0,3
3344.9703,5,5,21,363,806,1,2,1,6
2497.9856,6,5,20,767,717,3,0,3,9
672.5547,3,5,16,363,806,0,0,1,2
1757.97,4,5,15,150,598,1,0,1,4
1050.5128,4,6,16,773,668,1,0,1,4
2279.7175,6,5,16,767,717,3,1,2,9
1366.2964,5,7,12,150,598,1,1,2,6
882.4453,4,7,12,363,806,0,0,3,3
2977.0814,6,5,7,767,717,6,0,1,8
6869.5753,6,5,20,150,598,0,4,6,5
378.1083,5,6,13,773,668,1,1,2,6
237.7881,5,5,14,773,668,3,0,1,6
4847.3031,5,6,13,773,668,0,2,4,4
983.2114,4,6,11,0,463,0,1,2,3
1586.4617,3,5,4,48,143,0,1,0,2
4507.1847,6,6,30,773,668,0,7,8,0
9727.3219,8,5,27,370,1337,6,1,5,16
3718.3033,5,5,16,767,717,1,1,2,6
7875.5328,4,5,14,363,806,1,0,1,4
5338.0814,24,3,55,150,598,91,30,15,140
10895.8214,8,7,31,773,668,3,0,10,15
1818.1969,6,6,18,773,668,0,3,7,5
1778.2189,4,6,16,363,806,0,0,6,0
4277.8014,3,6,8,0,463,0,1,2,0
11766.4544,6,5,18,773,668,1,0,6,8
307.785,4,6,12,150,598,0,0,6,0
7223.7964,6,7,46,150,598,0,8,7,0
6141.0208,6,3,14,150,598,0,2,8,5
3466.3575,4,5,16,150,598,0,0,3,3
10826.0258,5,6,10,0,337,0,3,3,4
22791.4269,3,4,22,0,337,0,0,3,0
49.2278,3,3,18,2230,2622,0,1,2,0
1632.9389,10,6,37,491,168,6,5,10,24
594.9606,8,5,25,0,337,0,11,10,7
20976.8269,30,5,58,491,168,325,2,4,104
912.1531,5,7,13,0,337,0,3,3,4
1271.9942,7,6,21,491,168,6,1,2,12
7171.8356,7,3,22,1545,2019,1,3,7,10
5045.5253,3,4,13,773,668,0,0,3,0
4629.9586,5,5,21,25,93,1,1,2,6
7489.3872,4,7,18,2023,1892,0,0,3,3
5050.5853,5,4,10,2023,1892,0,2,4,4
10549.3081,5,4,12,370,1337,1,0,3,6
5054.4947,4,4,6,1,13,3,0,0,3
3659.4775,4,3,14,113,317,1,1,0,4
6413.4081,9,3,19,6,20,6,5,5,20
2535.9486,3,3,7,0,104,0,2,1,0
8428.0608,3,3,14,113,317,0,1,0,2
481.0564,6,6,24,72,289,1,2,4,8
452.3792,3,3,12,72,289,0,0,3,0
11080.2033,4,3,13,113,317,1,0,1,4
2258.8461,3,4,11,72,289,0,0,3,0
8596.0706,6,3,18,57,323,0,4,6,5
12349.26,8,3,30,113,317,3,1,9,15
14762.4767,8,4,23,113,317,1,0,15,12
466.6403,3,3,13,0,95,0,0,3,0
860.7028,4,3,7,0,104,0,0,3,3
566.2331,7,5,23,10,89,1,2,8,10
326.6497,7,5,16,72,289,10,0,1,10
140.3414,5,3,13,72,289,0,0,6,4
16600.2267,7,3,39,72,289,0,10,11,0
8351.2589,7,3,22,113,317,0,8,13,0
16056.5556,4,3,19,10,89,0,1,5,0
16682.9558,7,3,25,57,323,0,4,11,6
4899.0975,4,3,12,57,323,0,0,6,0
9381.9639,5,3,23,57,323,0,3,7,0
1029.7297,7,3,19,57,323,0,3,18,0
163.0097,5,3,14,72,289,0,0,10,0
10137.0231,6,3,20,6,48,0,2,8,5
8059.1086,7,3,44,57,323,0,2,19,0
198.0117,3,3,6,72,289,0,0,3,0
32720.0756,37,5,50,0,104,378,19,17,252
5054.835,5,3,13,57,323,3,0,1,6
149.8311,4,3,14,72,289,0,1,5,0
33249.4772,8,3,26,24,5,21,0,0,7
28899.4111,10,4,11,41,53,15,0,6,24
9623.4156,3,4,11,62,48,0,0,1,2
18006.5183,4,2,10,63,42,0,0,3,3
10592.8286,3,3,5,63,42,0,0,3,0
28466.9408,5,3,12,62,48,0,1,5,4
16112.0864,4,3,11,62,48,0,0,3,3
7948.8867,3,3,5,63,42,0,0,3,0
33222.6619,5,4,8,41,53,1,0,3,6
8662.1386,6,4,11,41,53,0,0,10,5
8240.8281,4,4,5,41,53,0,0,6,0
7172.0189,4,3,16,28,15,0,1,2,3
7171.8469,4,3,10,28,15,0,0,6,0
7389.3953,4,3,10,24,5,0,0,6,0
7389.6267,4,3,10,24,5,0,0,6,0
25727.9908,6,4,15,28,15,0,3,12,0
7700.7725,4,4,8,28,15,0,0,6,0
5483.7111,5,3,11,28,15,0,1,9,0
5925.0917,5,3,11,28,15,0,0,10,0
9183.4611,6,4,7,41,53,1,0,6,8
9209.2558,6,4,7,41,53,0,0,15,0
9263.7181,5,4,6,41,53,0,0,10,0
25508.1789,6,4,8,41,53,0,0,15,0
9121.4186,4,4,10,41,53,0,0,6,0
4653.4436,4,3,9,24,5,0,0,6,0
7773.1097,5,3,11,41,53,0,0,6,4
768.7294,5,3,6,4,374,6,0,0,4
2146.4872,4,3,8,4,374,1,1,0,4
