"ET","CC","Pr","CI","OE","OW","NI","SI","RI","FI"
1664.9011,4,5,21,3863,370,0,1,5,0
1578.0717,3,5,7,3863,370,0,0,3,0
1522.1658,6,5,7,3863,370,0,1,9,5
1451.7225,4,5,6,367,67,0,0,6,0
1395.3458,4,5,8,3863,370,0,1,2,3
1321.8108,4,5,4,3863,370,0,0,6,0
1273.2747,4,5,8,367,67,0,1,5,0
1202.1264,3,5,9,294,29,0,0,3,0
1200.9628,3,5,3,3863,370,0,0,3,0
1107.3878,3,5,8,58,23,0,0,3,0
1050.5533,5,5,9,367,67,0,1,9,0
903.0711,4,5,4,755,163,0,0,6,0
859.1189,4,5,7,367,67,0,0,6,0
852.7519,3,5,8,444,105,0,0,1,2
851.1658,5,5,11,227,59,0,0,6,4
824.4747,7,5,14,367,67,0,2,13,6
756.8619,6,5,8,367,67,0,1,9,5
745.5219,4,5,8,579,102,1,0,1,4
741.6403,5,5,9,367,67,0,1,9,0
692.6511,4,5,4,367,67,0,0,6,0
511.5186,3,5,10,0,15804,0,1,2,0
510.3778,5,5,8,227,59,0,1,9,0
508.7164,4,5,4,755,163,0,0,6,0
498.2775,4,5,4,367,67,0,0,6,0
494.965,5,5,12,227,59,0,2,4,4
493.3233,4,5,5,57002,161,0,0,3,3
433.8908,4,5,10,294,29,0,1,2,3
401.6789,5,5,7,39,9,0,1,9,0
394.4367,5,5,6,3863,370,0,1,9,0
345.7061,3,5,7,28,6,0,1,2,0
321.5361,3,5,11,3863,370,0,0,3,0
266.345,3,5,9,2249,67,0,0,1,2
190.7228,3,5,8,80,30,0,1,2,0
135.1164,4,5,8,294,29,0,3,3,0
66.085,5,5,12,3863,370,0,1,9,0
61.8647,4,5,5,3863,370,0,0,6,0
34.6758,5,5,7,2242,181,0,1,9,0
4363.4842,5,4,9,294,29,0,3,7,0
4361.9069,5,4,10,294,29,0,4,6,0
2591.4028,3,4,10,1396,310,0,1,2,0
2344.7158,4,4,7,55,22,0,1,5,0
1979.7519,4,4,6,755,163,0,0,6,0
1839.7131,4,4,9,2684,416,0,1,5,0
1762.2092,5,4,5,3863,370,0,1,5,4
1720.4314,4,4,4,3863,370,0,0,6,0
1509.9736,4,4,4,57002,161,0,0,6,0
1497.4169,3,4,15,9,1,0,1,2,0
1452.9878,5,4,9,80,30,0,2,8,0
1442.8347,4,4,7,3863,370,0,0,6,0
1436.9653,4,4,8,2,1,0,0,3,3
1693.5353,4,3,8,579,102,0,0,6,0
1689.2317,3,3,8,0,15804,0,0,3,0
1599.5592,3,3,6,1396,310,0,1,2,0
1571.2156,5,3,8,44,23,0,2,8,0
1571.1564,5,3,8,44,23,0,0,10,0
